Name,Stock Qty,Cost,Total Amount,Category,Warehouse
Cake Bag 8x5,6,0,0,PAPERS/PLASTIC/LINERS,In store
Cake Bag 11x6,11,0,0,PAPERS/PLASTIC/LINERS,In store
Wax Paper 10M,1,35,35,PAPERS/PLASTIC/LINERS,In store
Cake Bag 12x11 ,1,0,0,PAPERS/PLASTIC/LINERS,In store
Cake Bag 14x12,11,0,0,PAPERS/PLASTIC/LINERS,In store
10x14 Parchment 100pcs ,1,0,0,PAPERS/PLASTIC/LINERS,In store
10x14 Parchment ,81,0,0,PAPERS/PLASTIC/LINERS,In store
Food Gloves pair ,7,0,0,PAPERS/PLASTIC/LINERS,In store
Metallic wire ,1,0,0,PAPERS/PLASTIC/LINERS,In store
Seashells Molder ,1,65,65,FONDANT MOLDERS ,
Small Rose Molder ,1,65,65,FONDANT MOLDERS ,
Make Up Molder ,1,50,50,FONDANT MOLDERS ,
Bows Molder ,1,1,1,FONDANT MOLDERS ,
Clouds Molder ,1,35,35,FONDANT MOLDERS ,
Working Tools Molder ,1,1,1,FONDANT MOLDERS ,
Baby Boy Molder ,1,55,55,FONDANT MOLDERS ,
Baby Girl Molder ,1,55,55,FONDANT MOLDERS ,
Baby Clothes Molder ,2,85,170,FONDANT MOLDERS ,
Snowflakes Molder ,1,55,55,FONDANT MOLDERS ,
Leaves Silicone molder ,1,55,55,FONDANT MOLDERS ,
Casino Molder ,1,60,60,FONDANT MOLDERS ,
Ocean Molder ,3,75,225,FONDANT MOLDERS ,
Stellar molder ,1,60,60,FONDANT MOLDERS ,
Truck set Molder ,2,90,180,FONDANT MOLDERS ,
Unicorn Head Silicone ,1,60,60,FONDANT MOLDERS ,
Crown Fondant Molder ,1,80,80,FONDANT MOLDERS ,
Medium Mermaid tail molder ,4,65,260,FONDANT MOLDERS ,
Animal set molder ,1,75,75,FONDANT MOLDERS ,
Small feet molder ,2,35,70,FONDANT MOLDERS ,
Star Molder ,1,1,1,FONDANT MOLDERS ,
Sunflower silicone ,1,1,1,FONDANT MOLDERS ,
Heart silicone ,1,85,85,FONDANT MOLDERS ,
Chocolate Block silicone ,1,80,80,FONDANT MOLDERS ,
Chocolate block set ,1,90,90,FONDANT MOLDERS ,
Seahorse mermaid silicone ,1,55,55,FONDANT MOLDERS ,
Shooting star silicone ,1,65,65,FONDANT MOLDERS ,
Donut silicone ,1,130,130,FONDANT MOLDERS ,
it's a girl cutter ,1,55,55,FONDANT MOLDERS ,
it's a boy cutter ,1,55,55,FONDANT MOLDERS ,
Happy bday cutter ,1,55,55,FONDANT MOLDERS ,
Hot air plunger ,1,120,120,FONDANT MOLDERS ,
Heart Plunger ,4,45,180,FONDANT MOLDERS ,
Xmas Molder ,2,0,0,FONDANT MOLDERS ,In store
L silicone mermaid tail ,1,85,85,FONDANT MOLDERS ,In store
M mermaid tail ,2,75,150,FONDANT MOLDERS ,In store
Pink seashells molder ,2,65,130,FONDANT MOLDERS ,In store
Doctor molder ,1,55,55,FONDANT MOLDERS ,In store
